Age,Occupation,City_Tier,penghasilan_bulanan,pengeluaran_tetap,pengeluaran_variabel,total_pengeluaran,punya_tabungan,jumlah_tabungan_bulan,punya_investasi,jenis_investasi,tujuan_keuangan,toleransi_rugi,tanggungan_keluarga,dti_ratio,saving_rate,disposable_ratio,expense_ratio,ceamis_score,SAVEHABIT,SELFCONTROL_1,SCFHORIZON,FINGOALS,toleransi_rugi_enc,tujuan_keuangan_enc,inv_deposito,inv_deposito_obligasi,inv_saham_obligasi,inv_saham_reksa_dana,inv_tidak_ada,occ_Professional,occ_Retired,occ_Self_Employed,occ_Student,risk_label,risk_label_enc
49,Self_Employed,Tier_1,8604771.0,3568087.0,2864996.0,6433083.0,1,1.11,1,deposito,darurat,sedang,0,0.0,0.1389,0.2524,0.7476,0.5117,5,1,4,0,1,0,True,False,False,False,False,False,False,True,False,Moderat,1
34,Retired,Tier_2,5177561.0,1815731.0,1496417.0,3312148.0,1,0.67,0,tidak_ada,pensiun,sedang,2,0.0,0.0716,0.3603,0.6397,0.5151,1,1,3,0,1,1,False,False,False,False,True,False,True,False,False,Moderat,1
35,Student,Tier_3,9709418.0,4028439.0,3003110.0,7031549.0,1,1.16,0,tidak_ada,darurat,sedang,1,0.0916,0.14,0.2758,0.7242,0.4813,4,1,4,0,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
21,Self_Employed,Tier_3,19557706.0,6370264.0,7092412.0,13462676.0,1,1.43,1,saham_obligasi,darurat,tinggi,0,0.0671,0.1646,0.3116,0.6884,0.5087,5,3,4,1,2,0,False,False,True,False,False,False,False,True,False,Agresif,2
52,Professional,Tier_2,4795235.0,2170888.0,1416502.0,3587390.0,1,0.6,0,tidak_ada,pensiun,sedang,4,0.1251,0.0753,0.2519,0.7481,0.4393,4,1,4,0,1,1,False,False,False,False,True,True,False,False,False,Konservatif,0
57,Self_Employed,Tier_2,4795298.0,1742943.0,1587437.0,3330380.0,1,0.51,0,tidak_ada,pensiun,sedang,4,0.0,0.0594,0.3055,0.6945,0.4972,4,1,4,0,1,1,False,False,False,False,True,False,False,True,False,Konservatif,0
53,Self_Employed,Tier_2,20456808.0,6127555.0,6310878.0,12438433.0,1,1.71,1,saham_obligasi,pensiun,sedang,0,0.0,0.1734,0.392,0.608,0.5587,4,2,4,1,1,1,False,False,True,False,False,False,False,True,False,Moderat,1
40,Professional,Tier_2,10685560.0,5596497.0,3457075.0,9053572.0,1,0.85,0,tidak_ada,bebas_finansial,sedang,1,0.1499,0.1197,0.1527,0.8473,0.4201,5,2,5,0,1,3,False,False,False,False,True,True,False,False,False,Konservatif,0
32,Retired,Tier_1,3972382.0,2626229.0,1276194.0,3902423.0,1,0.11,0,tidak_ada,pensiun,rendah,4,0.1729,0.0176,0.0176,0.9824,0.3414,3,1,4,1,0,1,False,False,False,False,True,False,True,False,False,Konservatif,0
30,Student,Tier_2,8926225.0,3358581.0,2543016.0,5901597.0,1,1.1,0,tidak_ada,darurat,tinggi,1,0.0,0.1213,0.3388,0.6612,0.5272,4,1,2,1,2,0,False,False,False,False,True,False,False,False,True,Moderat,1
31,Student,Tier_3,3991677.0,1096073.0,1342144.0,2438217.0,1,0.82,0,tidak_ada,darurat,sedang,0,0.0,0.0835,0.3892,0.6108,0.5265,5,3,2,0,1,0,False,False,False,False,True,False,False,False,True,Moderat,1
31,Professional,Tier_2,3984300.0,1504274.0,1300342.0,2804616.0,1,0.7,0,tidak_ada,beli_aset,sedang,4,0.0,0.0825,0.2961,0.7039,0.5029,4,2,4,1,1,2,False,False,False,False,True,True,False,False,False,Konservatif,0
54,Retired,Tier_1,7018260.0,4000439.0,2132911.0,6133350.0,1,0.52,0,tidak_ada,pensiun,sedang,3,0.1259,0.0753,0.1261,0.8739,0.4075,5,2,4,1,1,1,False,False,False,False,True,False,True,False,False,Konservatif,0
22,Retired,Tier_3,1251473.0,427945.0,460940.0,888885.0,1,0.6,0,tidak_ada,darurat,sedang,3,0.0,0.0715,0.2897,0.7103,0.4975,2,2,2,1,1,0,False,False,False,False,True,False,True,False,False,Konservatif,0
39,Self_Employed,Tier_2,1455008.0,553703.0,484639.0,1038342.0,1,0.46,0,tidak_ada,darurat,sedang,4,0.0,0.0546,0.2864,0.7136,0.4907,3,3,1,1,1,0,False,False,False,False,True,False,False,True,False,Konservatif,0
45,Student,Tier_2,3688115.0,1839906.0,1230503.0,3070409.0,1,0.58,0,tidak_ada,darurat,sedang,2,0.132,0.0802,0.1675,0.8325,0.4171,1,2,3,1,1,0,False,False,False,False,True,False,False,False,True,Konservatif,0
62,Retired,Tier_2,2571992.0,1463256.0,897017.0,2360273.0,1,0.53,0,tidak_ada,darurat,rendah,4,0.1904,0.0814,0.0823,0.9177,0.3729,5,3,2,1,0,0,False,False,False,False,True,False,True,False,False,Konservatif,0
21,Professional,Tier_2,7436077.0,2912893.0,2477386.0,5390279.0,1,0.57,0,tidak_ada,darurat,sedang,4,0.0,0.0691,0.2751,0.7249,0.493,6,2,2,1,1,0,False,False,False,False,True,True,False,False,False,Konservatif,0
