transaction_id;user_id;transaction_datetime;amount;category;is_budgeted;is_late_night;is_weekend;is_unbudgeted;is_risky_category;is_binge_spending;hourly_txn_count;impulsive_score;impulsive_flag;income_monthly;total_debt_payment;dti_ratio;dti_segment;investment_amount;total_expense;wants_spending;saving_rate_score;wants_ratio_score;dti_score;investment_rate_score;budget_adherence;impulsive_component;health_score_original;health_score;health_label;dti_health_score;dti_health_label
TXN000150;USR0001;20/03/2024 01:39;18431360;hobi;FALSE;1;0;1;0;0;1;6;1;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN002674;USR0001;01/08/2024 22:45;6377100;hiburan;FALSE;1;0;1;1;0;1;675;1;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN002292;USR0001;04/08/2024 12:11;5125420;hiburan;FALSE;0;1;1;1;0;1;45;0;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN000001;USR0001;05/09/2024 22:53;5081860;hiburan;FALSE;1;0;1;1;0;1;675;1;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN002969;USR0001;08/09/2024 13:51;1059920;F&B;FALSE;0;1;1;1;0;1;45;0;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN004455;USR0001;09/09/2024 22:58;12172410;hobi;FALSE;1;0;1;0;0;1;6;1;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN004622;USR0001;11/11/2024 04:08;3967310;kesehatan;TRUE;0;0;0;0;0;1;0;0;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN001000;USR0001;06/12/2024 00:50;13592240;transportasi;FALSE;1;1;1;0;0;1;675;1;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN003845;USR0001;28/12/2024 23:06;19400780;elektronik;FALSE;1;1;1;0;0;1;675;1;145071430;36058670;2486;A;13080690;118760210;22622050;9068;4802;3785;9017;1111;4667;531;3.73;Kritis;49.77;Cukup
TXN003215;USR0002;12/01/2024 00:06;2836320;hiburan;FALSE;1;1;1;1;0;1;75;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004499;USR0002;16/01/2024 00:50;7506330;hobi;FALSE;1;0;1;0;0;1;6;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002747;USR0002;18/01/2024 02:23;5345070;tagihan;FALSE;0;0;1;0;0;1;3;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001435;USR0002;02/02/2024 11:10;2048330;F&B;FALSE;0;1;1;1;0;1;45;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002041;USR0002;03/02/2024 01:26;4049250;F&B;FALSE;1;1;1;1;0;1;75;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003848;USR0002;05/02/2024 00:24;4362990;pendidikan;FALSE;1;0;1;0;0;1;6;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000602;USR0002;12/02/2024 00:40;1840720;tagihan;FALSE;1;0;1;0;0;1;6;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004383;USR0002;14/02/2024 22:12;7256970;hobi;FALSE;1;0;1;0;0;1;6;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN000868;USR0002;18/02/2024 14:40;2834100;hobi;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004808;USR0002;19/02/2024 12:43;9562430;F&B;FALSE;0;0;1;1;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001086;USR0002;24/02/2024 10:09;2032570;pendidikan;TRUE;0;1;0;0;0;1;75;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003429;USR0002;24/02/2024 14:06;3401310;hobi;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002020;USR0002;29/02/2024 22:05;5656760;hobi;FALSE;1;0;1;0;0;1;6;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004278;USR0002;01/03/2024 12:53;3940990;hiburan;FALSE;0;1;1;1;0;1;45;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002253;USR0002;12/03/2024 00:29;816900;hobi;FALSE;1;0;1;0;0;1;6;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002133;USR0002;26/03/2024 04:37;5142030;kesehatan;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001726;USR0002;28/03/2024 10:11;334660;tagihan;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004076;USR0002;31/03/2024 19:05;4030910;hobi;FALSE;0;1;1;0;0;1;375;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN003413;USR0002;05/04/2024 09:01;7174740;hiburan;TRUE;0;1;0;1;0;1;15;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN004668;USR0002;05/04/2024 21:54;2871660;elektronik;TRUE;0;1;0;0;0;1;75;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN001452;USR0002;10/04/2024 16:21;979560;tagihan;TRUE;0;0;0;0;0;1;0;0;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
TXN002240;USR0002;13/04/2024 01:45;9299670;hiburan;FALSE;1;1;1;1;0;1;75;1;63949390;32607580;5099;C;3030760;33311410;3844940;10;7996;0;4739;3676;6559;615;4.8;Kritis;18.11;Kritis
